Name,County,Location,Dedicated Date,Lattitude,Longitude,Marker Type,Missing?,Categories,Marker Text,Text Len,Year,
Mason-Dixon Survey,Philadelphia,"Front & South Sts., Philadelphia","Friday, August 30, 2013",39.94089,-75.14369,Roadside,No,"Exploration, Government & Politics 17th Century, Government & Politics 18th Century, Science & Medicine, Native American, Professions & Vocations","Here, in 1763, the southernmost point of Philadelphia was determined as the starting point for the survey of one of the most important borders in the nation. Charles Mason and Jeremiah Dixon took scientific measurements of a degree of latitude, elevating professional surveying standards. The survey ended a land dispute begun by William Penn and Lord Baltimore. Western Pa. Indian wars and severe weather delayed completion of the line until 1768.",448,2013,
Rev. Dr. Leon Howard Sullivan (1922-2001),Philadelphia,"At Zion Baptist Church, 3600 N Broad St., Philadelphia","Monday, October 16, 2017",40.00779,-75.1517,Roadside,No,"African American, Civil Rights, Government & Politics, Government & Politics 20th Century, Religion","The “Lion of Zion” led the Selective Patronage Movement, opening thousands of jobs to blacks nationwide. He promoted the philosophy of self-help, creating organizations to educate and train minorities. The Global Sullivan Principles, codes of conduct for equal opportunities and human rights, factored prominently in negotiations to end apartheid in South Africa. Awarded the Presidential Medal of Freedom, he pastored at Zion Baptist for 37 years.",448,2017,
Walter Golaski (1913-1996),Philadelphia,"On Drexel campus on Lancaster Walk, near Lancaster Ave. and 34th St. interesection, Philadelphia","Saturday, May 17, 2014",39.95721,-75.19081,Roadside,No,"Business & Industry, Ethnic & Immigration, Invention, Science & Medicine, Professions & Vocations","A Polish-American engineer and inventor. In the 1960s Drexel graduate Golaski perfected the Dense Knit Dacron Vascular Prosthesis, the first practical artificial blood vessel replacement, a life-saving medical advance. He began his career designing innovative machinery for the knitting industry, for which he received numerous patents. He encouraged scholarly and cultural exchange between Poland and the US. His workshop was here for many years.",447,2014,
Walnut Lane Bridge,Philadelphia,"Walnut Ln., NE side of bridge over Wissahickon Creek (Germantown side), Philadelphia","Saturday, October 18, 2008",40.03298,-75.19912,Roadside,No,"Bridges, Business & Industry, Transportation","When completed in 1908, it was significant for its early use of concrete in bridge construction and as the world’s largest concrete arch bridge. Reformers of the era praised its utility and design. Connecting Germantown and Roxborough, it reduced the travel time between the two neighborhoods from a half-day to minutes, and promoted business and social interaction. This engineering marvel remains a vital transportation artery for Philadelphia.",446,2008,
Walnut Lane Bridge,Philadelphia,"Walnut Ln., SW side of bridge over Wissahickon Creek (Roxborough side), Philadelphia","Saturday, October 18, 2008",40.02136,-75.19151,Roadside,No,"Bridges, Business & Industry, Transportation","When completed in 1908, it was significant for its early use of concrete in bridge construction and as the world’s largest concrete arch bridge. Reformers of the era praised its utility and design. Connecting Germantown and Roxborough, it reduced the travel time between the two neighborhoods from a half-day to minutes, and promoted business and social interaction. This engineering marvel remains a vital transportation artery for Philadelphia.",446,2008,
Commodore John Barry (1745-1803),Philadelphia,"S Columbus Blvd. at Dock St. (near Hyatt and Indep. Seaport Mus.), Philadelphia","Wednesday, September 3, 2014",39.94548,-75.14204,Roadside,No,"American Revolution, George Washington, Government & Politics 18th Century, Military, Professions & Vocations","Following the creation of the US Navy in 1794 under President Washington, Barry was appointed first commissioned officer and Secretary. He oversaw construction of the nation’s first fleet. He won numerous naval victories during the American Revolution, many on the Delaware River. Irish-born Barry came to Philadelphia as a youth and assumed command of his first ship at age 21. He remained in naval service until his death at Strawberry Mansion.",446,2014,
Anthony Palmer (1664-1749),Philadelphia,"at Palmer Cemetery, just inside main gate on Palmer St., between Belgrade & Memphis Sts., Philadelphia","Saturday, October 17, 2015",39.97425,-75.13013,Roadside,No,"Early Settlement, Government & Politics 18th Century, Governors, Native American, Professions & Vocations","Arriving in Philadelphia in 1705, Palmer established himself as a merchant. He served on provincial council and held several judicial posts. He became acting governor in 1748-1749 and used his diplomatic acumen to negotiate with the French, Spanish, and Native Americans. He worked with Benjamin Franklin to acquire the support and revenue to fortify and defend Pa. against raiding privateers. He founded the community of Kensington in the 1730s.",446,2015,
"Liberation of Jane Johnson, The",Philadelphia,"211 S Columbus Blvd., Penn's Landing near Walnut St. pedestrian walkway and entrance to Independence Seaport Museum, Philadelphia","Saturday, July 18, 2009",39.94637,-75.14065,Roadside,No,"African American, Government & Politics 19th Century, Women","In 1855, an enslaved woman and her two sons found freedom, aided by abolitionists William Still, Passmore Williamson, and other Underground Railroad activists. They escaped from their Southern owner while being transported through Philadelphia and settled later in Boston. The incident, which occurred nearby, and Williamson’s subsequent imprisonment and famous trial attracted national attention, further intensifying the North-South conflict.",444,2009,
US Sanitary Commission Great Central Fair,Philadelphia,"Logan Sq., 19th & Ben Franklin Pkwy., near Swann Fountain, Philadelphia","Saturday, June 16, 2012",39.95744,-75.17083,Roadside,No,"Abraham Lincoln, Civil War, Government & Politics 19th Century, Military, Women","Held at Logan Square from June 7–28, 1864, this event raised more than one million dollars for the Union cause during the Civil War. Formed to coordinate efforts of women volunteering to support the war effort, the Commission gave relief and comfort to soldiers and their families. In his only official public appearance in Philadelphia, President Abraham Lincoln addressed the crowd on June 16, praising the important work of the organization.",444,2012,
John J. McDermott (1891-1971),Philadelphia,"Kingsessing Library, 1201 S 51st St., Philadelphia","Thursday, October 9, 2014",39.94203,-75.21821,Roadside,No,"Professions & Vocations, Sports & Recreation","In 1911 at the Chicago Golf Club, 19-year-old McDermott became the first American to win the US Open. He successfully defended his title the following year. One of the world’s top golfers between 1910 and 1914, he helped to popularize the game in this country. His career was cut short due to illness and he retired in 1914. This is his childhood neighborhood, where he caddied and learned to play at the Aronimink Golf Club, once located here.",444,2014,
Tommy Loughran (1902-1982),Philadelphia,"SW corner, S 17th & Ritner Sts., Philadelphia","Friday, July 7, 2006",39.9211,-75.17538,Roadside,No,Sports & Recreation,"World Light Heavyweight Champion from 1927 to 1929. He boxed during the ""Golden Age of Boxing"" in many weight classes, besting 10 champs in his 18-year career. The “Philly Phantom” had a scientific style, built on precision and maneuverability rather than brute force. Considered a gentleman both in and out of the ring. In 1991 he was elected to the International Boxing Hall of Fame. Loughran was devoted to his neighborhood and church here.",443,2006,
C. DeLores Tucker (1927-2005),Philadelphia,"6700 Lincoln Dr., Phila.","Saturday, July 22, 2006",40.04652,-75.19257,Roadside,No,"African American, Civil Rights, Government & Politics 20th Century, Women","Civil rights leader and activist for women. She was the first African American Secretary of State in the nation. Lived here for 47 years. Spearheaded Commission on the Status of Women and championed the PA Equal Rights Amendment, policies on affirmative action, voter registration by mail and lowering the voting age to 18. Led a successful crusade critical of the music industry and lyrics demeaning to women, African Americans, and children.",443,2006,
Greenbelt Knoll,Philadelphia,"SW corner, Holme Ave. & Longford St., Philadelphia","Sunday, June 10, 2007",40.05628,-75.02216,Roadside,No,"African American, Buildings & Architecture, Cities & Towns, Civil Rights, Houses & Homesteads","The first racially integrated housing development in Philadelphia, and a model for the nation, was built in 1956 by Morris Milgram, a nationally recognized developer and civil rights proponent. Prominent building and landscape architects, including Robert Bishop, Margaret Duncan, and Louis Kahn, created Modernist houses in the natural setting of Pennypack Park. Original residents include Milgram, Rep. Robert N.C. Nix, & Rev. Leon Sullivan.",443,2007,
"German Society of Pennsylvania, The",Philadelphia,"611 Spring Garden St. (at N 7th), Philadelphia","Monday, October 6, 2008",39.96155,-75.14922,Roadside,No,Ethnic & Immigration,"The oldest German American organization in the US was founded Dec. 26, 1764, in Philadelphia to provide legal aid, welfare, and language support to German immigrants. Its library, containing one of the nation’s largest German collections, is used by the public and scholars world-wide. The Society moved here in 1888 and continues to preserve German culture and heritage through language instruction, as well as music and educational programs.",443,2008,
Mathew Carey (1760-1839),Philadelphia,"324 Marker St., Philadelphia","Sunday, September 14, 2014",39.95063,-75.14668,Roadside,No,"Ethnic & Immigration, Government & Politics 18th Century, Government & Politics 19th Century, Professions & Vocations, Publishing & Journalism, Writers","An Irish Catholic who emigrated to Philadelphia in 1784, Carey was a prominent printer and publisher and prolific writer. He was an influential political economist and nationalist, promoting the purchase of American goods over imports, a strong central bank, and protective tariffs. He was a civic leader and a founder of the Hibernian Society (1793), which provided support and relief for Irish immigrants. His print shop was here, 1792-1813.",443,2014,
Francis Daniel Pastorius - PLAQUE,Philadelphia,"502 S. Front St. (west side, near South St.), Philadelphia",Oct-24,39.941826,-75.144086,Plaque,Yes,"Cities & Towns, Early Settlement, Ethnic & Immigration, Government & Politics 17th Century","Francis Daniel Pastorius founder of Germantown, 1651-1719, built here in 1683 on a lot 102 feet front a dugout *his first American home* in which, October 25, 1683, the thirteenth original settlers of Germantown drew lots for their new homes. He placed over the door this inscription: ""Parva domus sed amica bonis, procul este prophani"" ""A little house but a friend to the good; keep away, ye prophane"" at which his guest William Penn laughed.",443,9041,
Insurance Company of North America,Philadelphia,"436 Walnut St., Philadelphia","Wednesday, April 26, 2017",39.94742,-75.14904,Roadside,No,"Business & Industry, Invention","Formed in 1792 at Independence Hall to write marine insurance and incorporated in 1794, it was the first US firm to insure a building’s contents from fire. One of the most global insurers of the 20th century, INA created the homeowners policy in 1950. Located along “Insurance Row” (Walnut St. from 2nd to 6th) for much of the 19th century, and in the landmark INA Building at 1600 Arch St., 1925-91. Acquired by ACE (later Chubb) Ltd., 1999.",442,2017,
Hershey's First Candy Store,Philadelphia,"935 Spring Garden St., Philadelphia","Monday, June 1, 2009",39.96163,-75.1543,Roadside,No,"Business & Industry, Entrepreneurs, Professions & Vocations","Milton Snavely Hershey opened his first candy business here on June 1, 1876, at eighteen years of age. The confectionery shop produced and sold candies, nuts, and baked goods. Although initially successful, credit issues led to its closure. Undeterred, Hershey founded the Lancaster Caramel Co. in 1886, which became extremely profitable. Established as a subsidiary of that company, the Hershey Chocolate Co. achieved international success.",441,2009,
William Penn Charter School,Philadelphia,"left side of main entrance, 3000 W Schoolhouse Ln., Philadelphia","Friday, October 23, 2015",40.02212,-75.18689,Roadside,No,"African American, Education, Religion, William Penn, Women","Founded by Philadelphia Quakers in 1689 and first chartered by Penn in 1701, it was Pennsylvania’s first public school and is the oldest continuously operating Friends school in the world. Pioneering educational initiatives were based on public charity and inclusion: free tuition to the poor, education for both genders, and acceptance of all races. Quaker roots and Penn’s vision have been maintained. It moved to the present site in 1925.",441,2015,
Maxfield Parrish (1870-1966),Philadelphia,"in front of Curtis Bldg., S 6th St. between Sansom & Walnut.","Wednesday, September 16, 2015",39.94796,-75.15114,Roadside,No,"Artists, Professions & Vocations","One of America’s most popular artists, Parrish was a pioneer in commercial and graphic art. A master illustrator, he was innovative in incorporating art in advertising. He is known for his signature vibrant blues, his choice of fantastical subjects, and capturing the spontaneity of action. He studied at the Pa. Academy of the Fine Arts and under Howard Pyle at Drexel. His Dream Garden mosaic here was created with Tiffany Studios in 1915.",441,2015,
"John E. Fryer, M.D. (1937-2003)",Philadelphia,"13th St. at Locust, Philadelphia","Tuesday, October 3, 2017",39.94807,-75.16228,Roadside,No,"Civil Rights, Science & Medicine","Temple professor and psychiatrist Fryer, disguised as ""Dr. Anonymous,"" spoke against the American Psychiatric Association’s classification of homosexuality as a mental illness at the APA’s 1972 annual meeting. Fryer’s testimony persuaded the APA to declassify homosexuality as a mental disorder in 1973, ending treatments such as chemical castration, electric shock therapy, and lobotomy and paving the way for advances in LGBT civil rights.",441,2017,
Robert Aitken (1734-1802),Philadelphia,"11 Market St., Philadelphia","Friday, October 19, 2012",39.94965,-75.14258,Roadside,No,"American Revolution, Government & Politics 18th Century, Professions & Vocations, Publishing & Journalism, Religion","An influential revolutionary-era printer, he operated a shop on this block. In 1782, Aitken printed the nation’s first complete English Bible. It received endorsement from Congress, and was the only new Bible available to colonists due to printing restrictions and import embargoes. He also published the Journals of Congress, its official proceedings, and The Pennsylvania Magazine which introduced the writings of Thomas Paine to America.",440,2012,
National Funeral for President Washington,Philadelphia,"SE corner, N 4th & Cherry Streets, Philadelphia","Tuesday, December 14, 1999",39.95296,-75.14671,Roadside,No,"George Washington, Government & Politics, Government & Politics 18th Century","George Washington died on December 14, 1799. Congress set Dec. 26 as a day of formal mourning in Philadelphia, the nation's capital from 1790 to 1800. The national funeral service was in Zion Lutheran Church--located at this site, 1766-1870--and among those attending was President John Adams. In his funeral oration, Congressman Henry Lee spoke the famous tribute: ""First in war, first in peace and first in the hearts of his countrymen.""",439,1999,
Schuylkill Navy of Philadelphia,Philadelphia,"#4 Boathouse Row, Kelly Dr., Philadelphia","Saturday, October 11, 2008",39.96945,-75.1862,Roadside,No,"Buildings & Architecture, Sports & Recreation","The oldest governing body of amateur athletics in America was established in 1858. Rowing club members have participated in competitions at local, national, and international levels. Three-time Olympic gold medalist John B. Kelly Sr. served as commodore, 1935-1940. It hosts some of the largest regattas in the world on the Schuylkill River, one of the nation’s premier courses. Boathouse Row here is an icon of Philadelphia and of rowing.",439,2008,
Pennepack Baptist Church,Philadelphia,"8732 Krewstown Rd., Philadelphia","Saturday, June 1, 2013",40.08113,-75.05098,Roadside,No,"Buildings & Architecture, Early Settlement, Religion, William Penn",It was founded in 1688 by Welsh and English Baptists led by Rev. Elias Keach who sought the religious freedom of William Penn's colony. It was the first permanent Baptist church in Pa. and mother church of Baptist congregations in the mid-Atlantic region. The nearby Pennypack Creek was utilized for baptisms. The cemetery's first recorded burial was in 1692. The existing 1805 church is built on the original 1707 meetinghouse foundation.,439,2013,
William Lewis (1751-1819),Philadelphia,"Historic Strawberry Mansion, 2450 Strawberry Mansion Dr., Philadelphia","Saturday, October 19, 2013",39.99408,-75.18932,Roadside,No,"African American, Government & Politics 18th Century, Professions & Vocations","Philadelphia judge, lawyer, and abolitionist, Lewis played an important role in the drafting and passage of the 1780 “Act for the Gradual Abolition of Slavery.” It was the first abolition legislation in America. Lewis maintained an anti-slavery stance throughout his life as a counselor for the Pa. Abolition Society, defending the rights of slaves freed under this Act. Historic Strawberry Mansion, built in 1789, was Lewis’s summer home.",439,2013,
Byberry Hall,Philadelphia,"3003 Byberry Rd., Philadelphia","Saturday, July 19, 2014",40.10173,-74.98084,Roadside,No,"African American, Government & Politics 19th Century, Underground Railroad","Meeting place built in 1846-47 adjacent to Byberry Friends Meeting by renowned African American abolitionist Robert Purvis and others to facilitate public discussion of slavery and other social issues. Many famous abolitionists such as James and Lucretia Mott and William Lloyd Garrison spoke here. Purvis’s farm estate across Byberry Road was a regular station on the Underground Railroad. Purvis estimated he helped over 9,000 to escape.",439,2014,
Booth Maternity Center,Philadelphia,"St. Joseph's Univ. - Moore Hall, 6051 Overbrook Dr., Philadelphia","Friday, April 21, 2017",39.99104,-75.2478,Roadside,No,"Science & Medicine, Professions & Vocations, Women","Established in 1971, Booth revolutionized women’s health care by offering expectant mothers natural, family-centered childbirth options. It became a national model for its midwife training and for its promotion of midwife/doctor collaboration to improve care. The hospital pioneered the nationwide practice of permitting family members to support women during labor and delivery and advocated birth center accreditation. It closed in 1989.",439,2017,
Ronald McDonald House,Philadelphia,"3925 Chestnut St., Philadelphia","Tuesday, October 15, 2019",39.95558,-75.20136,Roadside,No,"Houses & Homesteads, Science & Medicine, Women","Founded in 1974 at 4032 Spruce Street, the facility moved here in 1981. Its mission has been to provide lodging and support services to families with hospitalized children. It was conceived by pediatric oncologist Dr. Audrey Evans with support from Phila. Eagles’ GM Jimmy Murray and McDonald’s exec. Ed Rensi. Since then, hundreds of Ronald McDonald House Charities chapters have opened worldwide, providing numerous programs to families.",439,2019,
Wissahickon Boys Club,Philadelphia,"328 W Coulter St., Germantown, Philadelphia",2001,40.02698,-75.17713,Roadside,No,African American,"Founded by Germantown Quakers in 1885. This Club joined the national Boys Club Federation in 1906 - the first member to serve an African American population. Under president John T. Emlen & executive director William T. Coleman, it earned a reputation for outstanding service to youth. Club alumni include Bill Cosby, Herb Adderley. Renamed the Wissahickon Boys & Girls Club in 1981, it moved here from Coulter St. & Pulaski Ave. in 1985.",438,2001,
Whitaker Mill Cedar Grove,Philadelphia,"5100 block of Tabor Rd. betw. E Olney Ave. & Garland St., Phila.","Saturday, May 27, 2006",40.03125,-75.11065,Roadside,No,"Business & Industry, Mills","In 1813 Henry Whitaker built a waterwheel textile mill and town here. William Whitaker & Sons, Inc. continued operations for 157 years in original buildings. Canvas & wool blankets were produced for the Civil War. First mill in the U.S. to produce bed ticking. Chenille manufacturing processes were patented. Owners ceased production in 1970. The mill was destroyed by arson & demolished in 1975. Several original buildings remain nearby.",438,2006,
Frank N. Piasecki (1919-2008),Philadelphia,"1937 Callowhill St., north side of Callowhill between 19th & 20th","Saturday, April 17, 2010",39.96087,-75.1711,Roadside,No,"Business & Industry, Invention, Military, Professions & Vocations","Aviation pioneer Piasecki developed and flew the 2nd helicopter in the US and the world’s 1st tandem rotor helicopter, initiating the 1st practical use of rotorcraft in the 1940s. His original company, started here, now a division of Boeing, is a world leader in helicopter production. In 1956, he founded Piasecki Aircraft Corp., continuing development of innovative advanced rotorcraft. Awarded the National Medal of Technology in 1986.",438,2010,
Herman Herzog (1831-1932),Philadelphia,4101 Pine St.,"Monday, September 12, 2011",39.95107,-75.20582,Roadside,No,"Artists, Ethnic & Immigration","A prolific landscape artist of over 1000 paintings, Herzog is associated with the 19th century Hudson River School American art movement, which captured unspoiled landscapes across the US. A notable artist in his native Germany, patrons included royalty throughout Europe. Moving to the US in the 1860s, he won many awards, including an 1876 Philadelphia Centennial medal. His home, studio, and birthplace of artist son, Lewis, were here.",438,2011,
Old St. Mary's Roman Catholic Church,Philadelphia,"at church, 250-252 S 4th St., Philadelphia","Sunday, December 8, 2013",39.94547,-75.14842,Roadside,No,"American Revolution, Buildings & Architecture, Government & Politics 18th Century, Religion","Founded in 1763, it is one of the nation's earliest Catholic churches and the first Roman Catholic cathedral in Pa. At a time of anti-Catholic sentiment in Colonial America, it symbolized the religious tolerance of Pa. that was later adopted in the US Constitution. The Continental Congress attended services several times as a sign of respect for the Catholic countries of France and Spain, America's allies during the Revolutionary War.",438,2013,
Elisha Kent Kane (1820-1857),Philadelphia,"Laurel Hill Cemetery, 3822 Ridge Ave., Philadelphia","Friday, August 26, 2016",40.00437,-75.19037,Roadside,No,Exploration,"Born in Philadelphia, Kane was a prominent explorer of the Arctic in the 1850s. His writings after his expeditions influenced scientific and popular opinion on the polar regions. He was first to chart a course that became the route that Robert Peary used to claim the North Pole in 1909. When he died, he was so revered that his body was sent on a two-week cortege across the country before being interred in its final resting place here.",438,2016,
Sullivan Progress Plaza,Philadelphia,"1501 N Broad St., Philadelphia","Wednesday, September 14, 2016",39.97652,-75.15825,Roadside,No,"African American, Business & Industry, Government & Politics 20th Century, Religion","First shopping center in the US built, owned, and operated by African Americans, it was established in 1968 by Rev. Leon H. Sullivan, Zion Baptist Church members, and the local black community. Its success attracted national attention; it led President Nixon to fund the Progress Development Services Corp. to aid blacks nationwide with commercial development projects. It encouraged black capitalism, inspiring similar economic ventures.",438,2016,
John Wanamaker (1838-1922),Philadelphia,"S 13th & Market Sts., Philadelphia","Saturday, July 11, 1998",39.95123,-75.16621,Roadside,No,"Business & Industry, Education, Entrepreneurs, Government & Politics 19th Century, Invention, Professions & Vocations, Religion","Philadelphia merchant, famed for the department stores bearing his name. In 1861 he opened his first store. He built his ""new kind of store"" here in 1876 and implemented new concepts including the one-price system & money-back guarantee. Active in public life, he built schools, churches, and missions in this and other nations. As U.S. Postmaster General, 1889-93, he fostered rural free delivery and introduced the commemorative stamp.",437,1998,
Baldwin Locomotive Works,Philadelphia,"Franklintown Park, SW corner, N 19th & Hamilton Sts., Philadelphia","Saturday, September 26, 2009",39.96193,-75.16952,Roadside,No,"Business & Industry, Railroads","For years the nation’s leading locomotive manufacturer, it exported products worldwide. Established here by Matthias Baldwin in 1835, it was an early example of integrated industrial organization, employing more than 15,000 workers. Its 39 buildings encompassed 17 acres and transformed the surrounding area from a rural estate to one of the city’s first factory neighborhoods. Relocating to Eddystone in 1928, it ceased production 1956.",437,2009,
Nicola Monachesi (c. 1795-1851),Philadelphia,"at St. Augustine's R.C. Church, 246-60 N 4th St., Philadelphia","Wednesday, May 24, 2017",39.95552,-75.14621,Roadside,No,"Artists, Buildings & Architecture, Ethnic & Immigration, Professions & Vocations, Religion","Born and trained in Italy, this artist executed some of the first fresco paintings in America, beginning in the 1830s. His commissions decorated many grand homes, Catholic churches, and public buildings such as the Merchants’ Exchange Building on South 3rd St. The ceiling frescoes at St. Augustine Roman Catholic Church are a rare surviving example of his work. Monachesi became a US citizen and lived in Philadelphia until his death.",435,2017,
Eddie Gottlieb (1898-1979),Philadelphia,"S Phila. High School, Snyder Ave. & Broad St., Philadelphia","Wednesday, May 21, 2014",39.92416,-75.16956,Roadside,No,"Basketball, Professions & Vocations, Sports & Recreation","A founder of the Basketball Association of America in 1946, the forerunner to the NBA, Gottlieb was introduced to basketball as a student here in 1914. “The Mogul” coached the award-winning SPHAS from the 1920s to 1950s and became the first coach of the Philadelphia Warriors, winners of the NBA’s inaugural championship in 1947. Gottlieb served the NBA as schedule maker for 30 years and Chairman of the Rules Committee for 25 years.",434,2014,
Philadelphia General Hospital,Philadelphia,"Curie Blvd. & Osler Circle, Penn campus","Monday, November 5, 2007",39.94884,-75.19646,Roadside,No,"Buildings & Architecture, Science & Medicine, Professions & Vocations, Women","Founded in 1729, PGH was the nation’s longest operating public health care institution. Originally an almshouse, the hospital moved to this location in 1871. PGH implemented innovative medical care and education under Dr. William Osler, and the work of Florence Nightingale protégée Alice Fisher advanced nursing as a profession. Pioneering methods of cancer diagnosis and radiation therapy were applied. The hospital closed in 1977.",433,2007,
"Pennsylvania Slave Trade, The",Philadelphia,"at Independence Seaport Museum near waterfront, 211 S Columbus Blvd., Philadelphia","Friday, August 5, 2016",39.94618,-75.13991,Roadside,No,"African American, Government & Politics 17th Century, William Penn","African people, first enslaved by the Dutch and Swedes, survived the brutal voyage from Africa to the Caribbean islands and the Americas, debarking on the Delaware River waterfront as early as 1639. William Penn, other Quakers, and Philadelphia merchants purchased and enslaved Africans. As the institution of slavery increased, these courageous people persevered and performed integral roles in building Pennsylvania and the nation.",433,2016,
